RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,169,0,0,0,169,1250,635.18,100,50
02 - Saguenay–Lac-Saint-Jean,82,0,2,0,84,1011,364.48,100,100
03 - Capitale-Nationale,624,3,9,0,636,8012,"1,054.01",100,89.2
04 - Mauricie et Centre-du-Québec,102,0,0,3,105,1398,266.63,100,58.3
05 - Estrie,92,0,15,1,108,2410,485.13,90.5,89.5
06 - Montréal,3226,123,209,21,3579,14330,689.45,89,88.9
07 - Outaouais,481,16,34,0,531,3851,952.14,94.2,95.9
08 - Abitibi-Témiscamingue,0,177,0,0,177,268,181.50,100,85.7
09 - Côte-Nord,10,0,0,0,10,150,167.85,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,187,208.59,60,66.7
12 - Chaudière-Appalaches,478,2,11,0,491,3497,809.66,100,86.7
13 - Laval,417,13,18,1,449,3234,724.18,95.8,92.8
14 - Lanaudière,282,32,11,0,325,1748,333.18,83.3,86
15 - Laurentides,447,16,47,0,510,2539,400.78,79.4,70.4
16 - Montérégie,324,17,129,7,477,4400,304.77,86.2,86.4
Inconnu,0,1,0,0,1,719,,100,100
Hors Québec,47,9,3,2,61,103,,100,100
Ensemble du Québec,6789,410,488,35,7722,49123,571.74,90.2,87.6
