Régions sociosanitaires;2021-06-13;2021-06-14;2021-06-15;2021-06-16;2021-06-17;2021-06-18;2021-06-19;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;1;-1;2;0;1;1;0;3 947
02 - Saguenay – Lac-Saint-Jean;0;0;1;1;1;1;2;11 004
03 - Capitale-Nationale;7;7;9;7;8;6;2;32 743
04 - Mauricie-et-Centre-du-Québec;1;1;6;-5;4;2;2;15 166
05 - Estrie;4;2;3;20;6;3;0;14 873
06 - Montréal;48;26;46;55;36;73;37;132 356
07 - Outaouais;5;12;9;9;12;11;4;12 430
08 - Abitibi-Témiscamingue;1;2;-1;2;2;1;1;1 145
09 - Côte-Nord;0;0;0;0;0;1;0;573
10 - Nord-du-Québec;0;0;0;0;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;2;0;1;0;2;1;0;2 056
12 - Chaudière-Appalaches;9;8;6;17;7;5;5;19 244
13 - Laval;14;4;23;13;14;19;9;31 492
14 - Lanaudière;9;17;6;14;7;8;8;23 969
15 - Laurentides;5;6;11;8;8;13;10;20 949
16 - Montérégie;14;19;30;20;17;13;22;51 235
17 - Nunavik;0;0;0;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;0;119
Hors Québec;3;2;1;0;1;2;1;460
Région à déterminer;0;0;0;0;1;0;0;4
Total;123;105;153;161;127;160;103;373 921
