Régions sociosanitaires;2021-06-27;2021-06-28;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;0;0;3 955
02 - Saguenay – Lac-Saint-Jean;1;0;11 015
03 - Capitale-Nationale;2;5;32 760
04 - Mauricie-et-Centre-du-Québec;2;2;15 184
05 - Estrie;1;1;14 887
06 - Montréal;31;29;132 646
07 - Outaouais;5;6;12 504
08 - Abitibi-Témiscamingue;0;0;1 146
09 - Côte-Nord;0;0;574
10 - Nord-du-Québec;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;0;2 061
12 - Chaudière-Appalaches;1;2;19 265
13 - Laval;11;7;31 607
14 - Lanaudière;8;5;24 034
15 - Laurentides;4;1;20 982
16 - Montérégie;8;13;51 361
17 - Nunavik;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;119
Hors Québec;2;0;471
Région à déterminer;0;0;4
Total;76;71;374 731
