RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,170,0,0,0,170,1253,636.70,"100,0","0,0"
02 - Saguenay–Lac-Saint-Jean,107,0,2,0,109,1022,368.45,"100,0","100,0"
03 - Capitale-Nationale,648,3,11,0,662,8031,"1,056.51","100,0","40,0"
04 - Mauricie et Centre-du-Québec,106,0,1,4,111,1413,269.49,"100,0","40,0"
05 - Estrie,93,0,16,1,110,2449,492.98,"83,3","60,0"
06 - Montréal,3286,131,223,40,3680,14606,702.73,"80,6","87,9"
07 - Outaouais,490,16,34,4,544,3933,972.42,"100,0","97,9"
08 - Abitibi-Témiscamingue,0,177,0,0,177,273,184.89,.,.
09 - Côte-Nord,10,0,0,0,10,150,167.85,.,.
10 - Nord-du-Québec,0,1,0,0,1,16,118.65,.,.
11 - Gaspésie–Îles-de-la-Madeleine,8,0,0,0,8,194,216.40,"100,0","100,0"
12 - Chaudière-Appalaches,513,2,12,0,527,3521,815.22,"100,0","100,0"
13 - Laval,433,13,18,5,469,3348,749.71,"100,0","96,2"
14 - Lanaudière,288,33,13,2,336,1822,347.28,"66,7","85,0"
15 - Laurentides,468,18,48,2,536,2595,409.62,"80,0","91,7"
16 - Montérégie,337,19,133,15,504,4510,312.39,"97,1","88,2"
Inconnu,0,1,0,0,1,721,,.,.
Hors Québec,48,9,3,4,64,108,,.,.
Ensemble du Québec,7005,423,514,77,8019,49965,581.54,"87,6","88,4"
