Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      3825,      2384,       62.3,       766,       20.0,       675,       17.6,        53,n.d.,n.d.,n.d.,n.d.,        45,       84.9
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,     10756,      5585,       51.9,      2425,       22.5,      2746,       25.5,       269,        13,        4.8,        21,        7.8,       235,       87.4
Région,RSS03,03 - Capitale-Nationale,     31032,     17966,       57.9,      6119,       19.7,      6947,       22.4,      1106,        32,        2.9,       100,        9.0,       974,       88.1
Région,RSS04,04 - Mauricie et Centre-du-Québec,     14702,      8442,       57.4,      2883,       19.6,      3377,       23.0,       522,        16,        3.1,        29,        5.6,       477,       91.4
Région,RSS05,05 - Estrie,     14148,      8321,       58.8,      2772,       19.6,      3055,       21.6,       347,        11,        3.2,        30,        8.6,       306,       88.2
Région,RSS06,06 - Montréal,    115846,     67147,       58.0,     21272,       18.4,     27427,       23.7,      4678,       150,        3.2,       272,        5.8,      4256,       91.0
Région,RSS07,07 - Outaouais,     11124,      7087,       63.7,      1898,       17.1,      2139,       19.2,       211,         6,        2.8,        19,        9.0,       186,       88.2
Région,RSS08,08 - Abitibi-Témiscamingue,      1103,       658,       59.7,       253,       22.9,       192,       17.4,         9,n.d.,n.d.,n.d.,n.d.,         6,       66.7
Région,RSS09,09 - Côte-Nord,       547,       361,       66.0,       102,       18.6,        84,       15.4,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,       107,        62,       57.9,        19,       17.8,        26,       24.3,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      1999,      1036,       51.8,       412,       20.6,       551,       27.6,        46,n.d.,n.d.,n.d.,n.d.,        41,       89.1
Région,RSS12,12 - Chaudière-Appalaches,     18734,     11385,       60.8,      3660,       19.5,      3689,       19.7,       367,        10,        2.7,        36,        9.8,       321,       87.5
Région,RSS13,13 - Laval,     30303,     18585,       61.3,      6082,       20.1,      5636,       18.6,       906,        16,        1.8,        64,        7.1,       826,       91.2
Région,RSS14,14 - Lanaudière,     23309,     13963,       59.9,      4801,       20.6,      4545,       19.5,       513,        21,        4.1,        31,        6.0,       461,       89.9
Région,RSS15,15 - Laurentides,     20316,     12220,       60.1,      4024,       19.8,      4072,       20.0,       506,        26,        5.1,        37,        7.3,       443,       87.5
Région,RSS16,16 - Montérégie,     48691,     28100,       57.7,      9745,       20.0,     10846,       22.3,      1546,        51,        3.3,       105,        6.8,      1390,       89.9
Région,RSS17,17 - Nunavik,        42,        21,       50.0,         6,       14.3,        15,       35.7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       103,        59,       57.3,        15,       14.6,        29,       28.2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    346723,    203409,       58.7,     67260,       19.4,     76054,       21.9,     11085,       358,        3.2,       757,        6.8,      9970,       89.9
Groupe d'âge,0_9,Moins de 10 ans,     28889,     24615,       85.2,      3488,       12.1,       786,        2.7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     43790,     36246,       82.8,      6308,       14.4,      1236,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     49482,     39937,       80.7,      7172,       14.5,      2373,        4.8,         7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,30_39,30-39 ans,     47362,     33097,       69.9,      9934,       21.0,      4331,        9.1,        18,n.d.,n.d.,n.d.,n.d.,        13,       72.2
Groupe d'âge,40_49,40-49 ans,     52277,     32786,       62.7,     12521,       24.0,      6970,       13.3,        47,        13,       27.7,        11,       23.4,        23,       48.9
Groupe d'âge,50_59,50-59 ans,     47207,     23632,       50.1,     13458,       28.5,     10117,       21.4,       205,        35,       17.1,        31,       15.1,       139,       67.8
Groupe d'âge,60_69,60-69 ans,     29077,      9749,       33.5,      8185,       28.1,     11143,       38.3,       707,        64,        9.1,        84,       11.9,       559,       79.1
Groupe d'âge,70_79,70-79 ans,     18371,      2299,       12.5,      3520,       19.2,     12552,       68.3,      2161,        78,        3.6,       197,        9.1,      1886,       87.3
Groupe d'âge,80_89,80-89 ans,     19046,       765,        4.0,      1907,       10.0,     16374,       86.0,      4340,        82,        1.9,       262,        6.0,      3996,       92.1
Groupe d'âge,90_,90 ans et plus,     11222,       283,        2.5,       767,        6.8,     10172,       90.6,      3598,        78,        2.2,       169,        4.7,      3351,       93.1
