,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,3986,4,3960,26,53,0,3922,11,196934.5,2024.02,5.59,26.91,1
02,02 - Saguenay-Lac-Saint-Jean,11060,2,10837,223,271,0,10770,19,277505,3985.51,6.85,97.66,2
03,03 - Capitale-Nationale,33014,19,32661,353,1118,0,31795,101,757803,4356.54,13.29,147.53,7
04,04 - Mauricie et Centre-du-Québec,15608,15,15368,240,525,-1,14867,216,523331.5,2982.43,41.20,100.32,28
05,05 - Estrie,15017,19,14500,517,352,0,14603,62,494966.5,3033.94,12.48,71.12,6
06,06 - Montréal,134402,58,131472,2930,4774,0,128984,644,2072060.5,6486.39,30.98,230.40,79
07,07 - Outaouais,12635,0,12188,447,215,0,12392,28,402744,3137.23,6.92,53.38,0
08,08 - Abitibi-Témiscamingue,1166,3,1133,33,9,0,1142,15,147637,789.77,10.16,6.10,0
09,09 - Côte-Nord,585,2,566,19,4,0,577,4,89700.5,652.17,4.48,4.46,1
10,10 - Nord-du-Québec,110,0,108,2,0,0,110,0,13521.5,813.52,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2076,0,2056,20,46,0,2026,4,89823,2311.21,4.46,51.21,0
12,12 - Chaudière-Appalaches,19338,5,19057,281,368,0,18938,32,431109.5,4485.64,7.41,85.36,0
13,13 - Laval,32345,51,30502,1843,917,0,31201,227,444658.5,7274.12,50.83,206.23,21
14,14 - Lanaudière,24310,9,23597,713,517,0,23673,120,522367,4653.82,22.87,98.97,8
15,15 - Laurentides,21290,19,20686,604,510,0,20640,140,630238,3378.09,22.10,80.92,10
16,16 - Montérégie,51996,23,50033,1963,1559,0,50182,255,1438226,3615.29,17.66,108.40,16
17,17 - Nunavik,50,1,48,2,0,0,47,3,14336.5,348.76,20.81,0.00,0
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,562,4,557,5,0,0,534,28,.,.,.,.,4
999,Ensemble du Québec,379673,234,369451,10222,11241,-1,366523,1909,8565469.5,4432.60,22.22,131.24,183

