Regroupement,Croisement,Nom,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,2712,994,,,6,16,1696,1016,1627,186,1580,220,1497
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,3222,997,,,9,77,2139,1083,1988,162,1896,204,1853
Région,RSS03,03 - Capitale-Nationale,15021,6274,5,11,162,432,8137,6884,9763,816,9418,1047,9985
Région,RSS04,04 - Mauricie et Centre-du-Québec,6353,1651,1,2,79,498,4122,2231,3652,259,3489,368,2815
Région,RSS05,05 - Estrie,7545,2035,,11,105,342,5052,2493,3504,338,3319,369,3473
Région,RSS06,06 - Montréal,69244,13820,126,284,1677,3915,49422,19822,32572,4284,28468,5517,35336
Région,RSS07,07 - Outaouais,7672,3839,17,33,93,547,3143,4529,5479,165,4290,1121,5879
Région,RSS08,08 - Abitibi-Témiscamingue,865,100,193,,8,13,551,314,423,12,222,234,594
Région,RSS09,09 - Côte-Nord,292,162,,,3,8,119,173,239,14,227,35,220
Région,RSS10,10 - Nord-du-Québec,62,22,2,,1,12,25,37,61,3,57,4,58
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,532,185,,,9,34,304,228,358,17,323,36,299
Région,RSS12,12 - Chaudière-Appalaches,11560,3452,1,10,26,621,7450,4110,8019,482,7211,766,5329
Région,RSS13,13 - Laval,17321,3278,13,23,374,1658,11975,5346,8291,544,5966,871,8387
Région,RSS14,14 - Lanaudière,10377,1819,38,11,183,1062,7264,3113,5448,479,4562,687,5548
Région,RSS15,15 - Laurentides,11794,2557,33,59,204,1365,7576,4218,6901,849,6291,972,7357
Région,RSS16,16 - Montérégie,24866,4290,25,155,743,1535,18118,6748,12549,1393,9915,1971,12108
Région,RSS00,Inconnu,458,50,1,,8,43,356,102,359,13,229,85,301
Région,RSS98,Hors-Québec,754,123,11,10,118,106,386,368,364,139,295,211,492
Région,RSS99,Ensemble du Québec,190650,45648,466,609,3808,12284,127835,62815,101597,10155,87758,14718,101531

