Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,2760,994,,,5,30,1731,1029,1657,186,1602,220,1516
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3297,997,,,9,147,2144,1153,2072,163,1969,204,1924
Région,RSS03,03 - Capitale-Nationale,Total,15425,6274,5,11,171,729,8235,7190,10253,831,9885,1050,10297
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,6751,1652,1,2,67,724,4305,2446,4168,265,3940,371,3055
Région,RSS05,05 - Estrie,Total,7969,2035,,11,121,690,5112,2857,4047,366,3769,356,3866
Région,RSS06,06 - Montréal,Total,71701,13822,126,284,1972,6697,48800,22901,34993,4634,30697,5574,37791
Région,RSS07,07 - Outaouais,Total,7932,3839,17,33,98,817,3128,4804,5879,173,4567,1129,6164
Région,RSS08,08 - Abitibi-Témiscamingue,Total,880,100,193,,10,21,556,324,450,13,236,236,608
Région,RSS09,09 - Côte-Nord,Total,307,162,,,3,21,121,186,259,14,241,35,232
Région,RSS10,10 - Nord-du-Québec,Total,64,22,2,,2,13,25,39,63,4,58,5,60
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,561,185,,,5,60,311,250,385,14,348,36,321
Région,RSS12,12 - Chaudière-Appalaches,Total,12313,3452,1,10,38,1157,7655,4658,8639,495,7819,766,5879
Région,RSS13,13 - Laval,Total,18150,3278,13,23,384,2698,11754,6396,9413,569,7048,875,9488
Région,RSS14,14 - Lanaudière,Total,10910,1820,38,11,172,1684,7185,3725,6127,487,5176,692,6159
Région,RSS15,15 - Laurentides,Total,12503,2559,33,59,212,2293,7347,5156,7857,874,7169,977,8230
Région,RSS16,16 - Montérégie,Total,25909,4290,25,155,870,2584,17985,7924,13853,1550,10797,1989,13118
Région,RSS00,Inconnu,Total,465,50,1,,18,55,341,124,419,21,248,88,329
Région,RSS98,Hors-Québec,Total,822,124,11,10,138,131,408,414,421,159,339,229,547
Région,RSS99,Ensemble du Québec,Total,198719,45655,466,609,4295,20551,127143,71576,110955,10818,95908,14832,109584

