Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,NbrPresomptifDelta,Delta_Total,NbrAutres,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq
Région,RSS01,01 - Bas-Saint-Laurent,Total,2799,994,0,0,5,76,81,1724,1075,1712,188,1657,220,1565
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,3332,997,0,0,9,178,187,2148,1184,2105,165,2001,204,1958
Région,RSS03,03 - Capitale-Nationale,Total,15617,6276,5,11,173,880,1053,8272,7345,10463,856,10088,1053,10457
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,6986,1652,1,2,67,857,924,4407,2579,4448,267,4220,372,3192
Région,RSS05,05 - Estrie,Total,8144,2035,0,11,121,866,987,5111,3033,4257,391,3975,382,4048
Région,RSS06,06 - Montréal,Total,72690,13822,126,284,1972,7615,9587,48871,23819,35928,4850,31476,5795,38756
Région,RSS07,07 - Outaouais,Total,8139,3839,17,33,99,972,1071,3179,4960,6042,173,4730,1130,6321
Région,RSS08,08 - Abitibi-Témiscamingue,Total,902,101,193,0,10,33,43,565,337,460,15,246,239,621
Région,RSS09,09 - Côte-Nord,Total,335,163,0,0,3,33,36,136,199,272,14,254,36,246
Région,RSS10,10 - Nord-du-Québec,Total,64,22,2,0,2,13,15,25,39,63,4,58,5,60
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,576,185,0,0,5,70,75,316,260,396,14,359,36,331
Région,RSS12,12 - Chaudière-Appalaches,Total,12729,3452,1,10,38,1498,1536,7730,4999,9019,504,8195,766,6251
Région,RSS13,13 - Laval,Total,18465,3278,13,23,385,2898,3283,11868,6597,9629,580,7251,889,9700
Région,RSS14,14 - Lanaudière,Total,11161,1820,38,11,172,1874,2046,7246,3915,6312,553,5316,758,6362
Région,RSS15,15 - Laurentides,Total,12817,2559,33,59,212,2580,2792,7374,5443,8174,904,7464,1008,8549
Région,RSS16,16 - Montérégie,Total,26380,4291,25,155,870,3109,3979,17930,8450,14370,1644,11249,2084,13663
Région,RSS00,Inconnu,Total,481,50,1,0,18,63,81,349,132,429,21,258,88,338
Région,RSS98,Hors-Québec,Total,839,124,11,10,138,136,274,420,419,429,159,347,229,555
Région,RSS99,Ensemble du Québec,Total,202456,45660,466,609,4299,23751,28050,127671,74785,114508,11302,99144,15294,112973

