Date;Date;Nouveaux cas;;
2020-02-25;43886;1;;
2020-02-26;43887;0;;
2020-02-27;43888;0;;
2020-02-28;43889;0;;
2020-02-29;43890;0;;
2020-03-01;43891;1;;
2020-03-02;43892;2;;
2020-03-03;43893;0;;
2020-03-04;43894;0;;
2020-03-05;43895;0;;
2020-03-06;43896;0;;
2020-03-07;43897;0;;
2020-03-08;43898;1;;
2020-03-09;43899;1;;
2020-03-10;43900;2;;
2020-03-11;43901;3;;
2020-03-12;43902;3;;
2020-03-13;43903;2;;
2020-03-14;43904;5;;
2020-03-15;43905;6;;
2020-03-16;43906;5;;
2020-03-17;43907;7;;
2020-03-18;43908;6;;
2020-03-19;43909;36;;
2020-03-20;43910;49;;
2020-03-21;43911;91;;
2020-03-22;43912;89;;
2020-03-23;43913;133;;
2020-03-24;43914;145;;
2020-03-25;43915;187;;
2020-03-26;43916;180;;
2020-03-27;43917;241;;
2020-03-28;43918;200;;
2020-03-29;43919;259;;
2020-03-30;43920;266;;
2020-03-31;43921;332;;
2020-04-01;43922;305;;
2020-04-02;43923;410;;
2020-04-03;43924;348;;
2020-04-04;43925;339;;
2020-04-05;43926;261;;
2020-04-06;43927;456;;
2020-04-07;43928;423;;
2020-04-08;43929;375;;
2020-04-09;43930;350;;
2020-04-10;43931;306;;
2020-04-11;43932;264;;
2020-04-12;43933;331;;
2020-04-13;43934;544;;
2020-04-14;43935;468;;
2020-04-15;43936;614;;
2020-04-16;43937;498;;
2020-04-17;43938;572;;
2020-04-18;43939;331;;
2020-04-19;43940;432;;
2020-04-20;43941;480;;
2020-04-21;43942;459;;
2020-04-22;43943;535;;
2020-04-23;43944;530;;
2020-04-24;43945;496;;
2020-04-25;43946;314;;
2020-04-26;43947;284;;
2020-04-27;43948;461;;
2020-04-28;43949;474;;
2020-04-29;43950;520;;
2020-04-30;43951;590;;
2020-05-01;43952;618;;
2020-05-02;43953;527;;
2020-05-03;43954;345;;
2020-05-04;43955;420;;
2020-05-05;43956;469;;
2020-05-06;43957;567;;
2020-05-07;43958;431;;
2020-05-08;43959;431;;
2020-05-09;43960;314;;
2020-05-10;43961;299;;
2020-05-11;43962;364;;
2020-05-12;43963;431;;
2020-05-13;43964;400;;
2020-05-14;43965;354;;
2020-05-15;43966;346;;
2020-05-16;43967;273;;
2020-05-17;43968;338;;
2020-05-18;43969;333;;
2020-05-19;43970;317;;
2020-05-20;43971;408;;
2020-05-21;43972;381;;
2020-05-22;43973;255;;
2020-05-23;43974;217;;
2020-05-24;43975;215;;
2020-05-25;43976;207;;
2020-05-26;43977;241;;
2020-05-27;43978;254;;
2020-05-28;43979;193;;
2020-05-29;43980;193;;
2020-05-30;43981;207;;
2020-05-31;43982;141;;
2020-06-01;43983;160;;
2020-06-02;43984;98;;
2020-06-03;43985;115;;
2020-06-04;43986;129;;
2020-06-05;43987;108;;
2020-06-06;43988;104;;
2020-06-07;43989;76;;
2020-06-08;43990;51;;
2020-06-09;43991;80;;
2020-06-10;43992;67;;
2020-06-11;43993;66;;
2020-06-12;43994;72;;
2020-06-13;43995;66;;
2020-06-14;43996;28;;
2020-06-15;43997;57;;
2020-06-16;43998;74;;
2020-06-17;43999;53;;
2020-06-18;44000;49;;
2020-06-19;44001;64;;
2020-06-20;44002;33;;
2020-06-21;44003;26;;
2020-06-22;44004;40;;
2020-06-23;44005;40;;
2020-06-24;44006;28;;
2020-06-25;44007;47;;
2020-06-26;44008;42;;
2020-06-27;44009;30;;
2020-06-28;44010;18;;
2020-06-29;44011;16;;
2020-06-30;44012;40;;
2020-07-01;44013;24;;
2020-07-02;44014;16;;
2020-07-03;44015;17;;
2020-07-04;44016;16;;
2020-07-05;44017;7;;
2020-07-06;44018;16;;
2020-07-07;44019;21;;
2020-07-08;44020;33;;
2020-07-09;44021;52;;
2020-07-10;44022;48;;
2020-07-11;44023;22;;
2020-07-12;44024;13;;
2020-07-13;44025;76;;
2020-07-14;44026;66;;
2020-07-15;44027;69;;
2020-07-16;44028;67;;
2020-07-17;44029;102;;
2020-07-18;44030;98;;
2020-07-19;44031;55;;
2020-07-20;44032;37;;
2020-07-21;44033;65;;
2020-07-22;44034;78;;
2020-07-23;44035;98;;
2020-07-24;44036;71;;
