Arrondissement ou ville liée;Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;Ahuntsic–Cartierville;49;433;322,5;12705;9464;0;;492
Anjou;Anjou;12;166;387,9;4329;10115,4;0;;80
Baie D'urfé;Baie D'urfé;< 5;5;n.p.;118;3086,6;0;;< 5
Beaconsfield;Beaconsfield;< 5;26;* 134,5;655;3389,6;0;;21
Côte-des-Neiges–Notre-Dame-de-Grâce;Côte-des-Neiges–Notre-Dame-de-Grâce;32;512;307,5;14319;8599;0;;372
Côte-Saint-Luc;Côte-Saint-Luc;16;166;511,6;3469;10691;0;;120
Dollard-des-Ormeaux;Dollard-des-Ormeaux;< 5;129;263,8;3485;7126,9;0;;125
Dorval;Dorval;< 5;50;263,4;983;5179,1;0;;69
Hampstead;Hampstead;< 5;30;* 430,2;558;8002,3;0;;6
Kirkland;Kirkland;< 5;30;* 148,9;942;4674,7;0;;36
Lachine;Lachine;< 5;77;173,1;3501;7869,4;< 5;n.p.;172
LaSalle;LaSalle;22;224;291,5;6745;8776,5;0;;247
L'Île-Bizard–Sainte-Geneviève;L'Île-Bizard–Sainte-Geneviève;0;63;342,1;1263;6859,3;0;;76
Mercier–Hochelaga-Maisonneuve;Mercier–Hochelaga-Maisonneuve;24;371;272,7;10768;7916,3;0;;452
Montréal Est;Montréal Est;< 5;45;1168,8;397;10311,7;0;;9
Montréal-Nord;Montréal-Nord;10;201;238,6;10673;12670,7;0;;338
Montréal-Ouest;Montréal-Ouest;< 5;24;* 475,2;274;5425,7;0;;< 5
Mont-Royal;Mont-Royal;< 5;63;310,7;1352;6668;0;;94
Outremont;Outremont;7;97;404,9;1553;6483,3;0;;29
Pierrefonds–Roxboro;Pierrefonds–Roxboro;8;208;300,2;5228;7544,3;0;;88
Plateau Mont-Royal;Plateau Mont-Royal;27;257;247,1;5924;5696,2;0;;172
Pointe-Claire;Pointe-Claire;5;103;328,2;1347;4292,5;0;;56
Rivière-des-Prairies–Pointe-aux-Trembles;Rivière-des-Prairies–Pointe-aux-Trembles;28;356;333,5;11236;10526,2;< 5;n.p.;324
Rosemont–La Petite Patrie;Rosemont–La Petite Patrie;43;439;314,5;8874;6357,2;0;;328
Sainte-Anne-de-Bellevue;Sainte-Anne-de-Bellevue;-1;10;* 201,7;200;4033,9;0;;13
Saint-Laurent;Saint-Laurent;22;270;273,2;9955;10073,1;0;;159
Saint-Léonard;Saint-Léonard;9;295;376,7;9746;12446,2;0;;150
Senneville;Senneville;0;< 5;n.p.;35;* 3800,2;0;;0
Sud-Ouest;Sud-Ouest;16;180;230,3;4965;6353,1;0;;209
Verdun;Verdun;17;153;221;3911;5649,4;0;;202
Ville-Marie;Ville-Marie;20;191;214,2;6100;6840,9;< 5;n.p.;132
Villeray–Saint-Michel–Parc-Extension;Villeray–Saint-Michel–Parc-Extension;23;409;284,3;13382;9302,6;< 5;n.p.;207
Westmount;Westmount;< 5;38;187,1;939;4622,9;0;;57
Territoire à confirmer;Territoire à confirmer;5;;0;;0;;0;
Total à Montréal;Total à Montréal;416;5693;275,6;162222;7853,3;< 5;n.p.;4868
