Groupe d'âge;Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie
0-4 ans;0-4 ans;27;331;301,3;6483;5902,1;0;;0
5-9 ans;5-9 ans;108;906;842,2;10386;9654,2;0;;0
10-19 ans;10-19 ans;94;847;425,8;19408;9756,9;0;;0
20-29 ans;20-29 ans;163;806;247,6;27632;8487;0;;< 5
30-39 ans;30-39 ans;146;1068;325,4;25266;7698;0;;8
40-49 ans;40-49 ans;171;1044;376,1;24034;8657,9;0;;27
50-59 ans;50-59 ans;62;573;223,4;18751;7310,3;< 5;n.p.;118
60-69 ans;60-69 ans;48;360;166,4;11296;5221,6;< 5;n.p.;349
70-79 ans;70-79 ans;19;173;119,7;7230;5003,2;< 5;n.p.;854
80 ans et +;80 ans et +;7;88;87,5;12492;12418,6;< 5;n.p.;3512
Manquant;Manquant;-1;;0;;0;;0;
Total;Total;844;6196;300;163066;7894,1;8;n.p.;4871
