Date,GrAge_Admission,Statut_Vaccinal,Nb_Nvelles_Hosp
2021-07-18,0-9 ans,0 à 4 ans,0
2021-07-18,0-9 ans,Non-vacciné,0
2021-07-18,0-9 ans,Vacciné 1 dose,0
2021-07-18,0-9 ans,Vacciné 2 doses,0
2021-07-18,10-19 ans,Non-vacciné,0
2021-07-18,10-19 ans,Vacciné 1 dose,0
2021-07-18,10-19 ans,Vacciné 2 doses,0
2021-07-18,20-29 ans,Non-vacciné,0
2021-07-18,20-29 ans,Vacciné 1 dose,0
2021-07-18,20-29 ans,Vacciné 2 doses,0
2021-07-18,30-39 ans,Non-vacciné,1
2021-07-18,30-39 ans,Vacciné 1 dose,1
2021-07-18,30-39 ans,Vacciné 2 doses,0
2021-07-18,40-49 ans,Non-vacciné,0
2021-07-18,40-49 ans,Vacciné 1 dose,0
2021-07-18,40-49 ans,Vacciné 2 doses,0
2021-07-18,50-59 ans,Non-vacciné,0
2021-07-18,50-59 ans,Vacciné 1 dose,0
2021-07-18,50-59 ans,Vacciné 2 doses,1
2021-07-18,60-69 ans,Non-vacciné,0
2021-07-18,60-69 ans,Vacciné 1 dose,0
2021-07-18,60-69 ans,Vacciné 2 doses,0
2021-07-18,70-79 ans,Non-vacciné,0
2021-07-18,70-79 ans,Vacciné 1 dose,0
2021-07-18,70-79 ans,Vacciné 2 doses,0
2021-07-18,80-89 ans,Non-vacciné,0
2021-07-18,80-89 ans,Vacciné 1 dose,0
2021-07-18,80-89 ans,Vacciné 2 doses,0
2021-07-18,90 ans et plus,Non-vacciné,0
2021-07-18,90 ans et plus,Vacciné 1 dose,0
2021-07-18,90 ans et plus,Vacciné 2 doses,0
2021-07-19,0-9 ans,0 à 4 ans,0
2021-07-19,0-9 ans,Non-vacciné,0
2021-07-19,0-9 ans,Vacciné 1 dose,0
2021-07-19,0-9 ans,Vacciné 2 doses,0
2021-07-19,10-19 ans,Non-vacciné,0
2021-07-19,10-19 ans,Vacciné 1 dose,0
2021-07-19,10-19 ans,Vacciné 2 doses,0
2021-07-19,20-29 ans,Non-vacciné,0
2021-07-19,20-29 ans,Vacciné 1 dose,0
2021-07-19,20-29 ans,Vacciné 2 doses,0
2021-07-19,30-39 ans,Non-vacciné,0
2021-07-19,30-39 ans,Vacciné 1 dose,0
2021-07-19,30-39 ans,Vacciné 2 doses,0
2021-07-19,40-49 ans,Non-vacciné,0
2021-07-19,40-49 ans,Vacciné 1 dose,0
2021-07-19,40-49 ans,Vacciné 2 doses,0
2021-07-19,50-59 ans,Non-vacciné,0
2021-07-19,50-59 ans,Vacciné 1 dose,0
2021-07-19,50-59 ans,Vacciné 2 doses,0
2021-07-19,60-69 ans,Non-vacciné,0
2021-07-19,60-69 ans,Vacciné 1 dose,1
2021-07-19,60-69 ans,Vacciné 2 doses,0
2021-07-19,70-79 ans,Non-vacciné,0
2021-07-19,70-79 ans,Vacciné 1 dose,0
2021-07-19,70-79 ans,Vacciné 2 doses,0
2021-07-19,80-89 ans,Non-vacciné,0
2021-07-19,80-89 ans,Vacciné 1 dose,0
2021-07-19,80-89 ans,Vacciné 2 doses,0
2021-07-19,90 ans et plus,Non-vacciné,0
2021-07-19,90 ans et plus,Vacciné 1 dose,0
2021-07-19,90 ans et plus,Vacciné 2 doses,0
2021-07-20,0-9 ans,0 à 4 ans,0
2021-07-20,0-9 ans,Non-vacciné,0
2021-07-20,0-9 ans,Vacciné 1 dose,0
2021-07-20,0-9 ans,Vacciné 2 doses,0
2021-07-20,10-19 ans,Non-vacciné,0
2021-07-20,10-19 ans,Vacciné 1 dose,0
2021-07-20,10-19 ans,Vacciné 2 doses,0
2021-07-20,20-29 ans,Non-vacciné,0
2021-07-20,20-29 ans,Vacciné 1 dose,0
2021-07-20,20-29 ans,Vacciné 2 doses,0
2021-07-20,30-39 ans,Non-vacciné,1
2021-07-20,30-39 ans,Vacciné 1 dose,0
2021-07-20,30-39 ans,Vacciné 2 doses,0
2021-07-20,40-49 ans,Non-vacciné,0
2021-07-20,40-49 ans,Vacciné 1 dose,0
2021-07-20,40-49 ans,Vacciné 2 doses,0
2021-07-20,50-59 ans,Non-vacciné,0
2021-07-20,50-59 ans,Vacciné 1 dose,0
2021-07-20,50-59 ans,Vacciné 2 doses,0
2021-07-20,60-69 ans,Non-vacciné,2
2021-07-20,60-69 ans,Vacciné 1 dose,0
2021-07-20,60-69 ans,Vacciné 2 doses,0
2021-07-20,70-79 ans,Non-vacciné,0
2021-07-20,70-79 ans,Vacciné 1 dose,0
2021-07-20,70-79 ans,Vacciné 2 doses,0
2021-07-20,80-89 ans,Non-vacciné,0
2021-07-20,80-89 ans,Vacciné 1 dose,0
2021-07-20,80-89 ans,Vacciné 2 doses,0
2021-07-20,90 ans et plus,Non-vacciné,1
2021-07-20,90 ans et plus,Vacciné 1 dose,0
2021-07-20,90 ans et plus,Vacciné 2 doses,0
2021-07-21,0-9 ans,0 à 4 ans,0
2021-07-21,0-9 ans,Non-vacciné,0
2021-07-21,0-9 ans,Vacciné 1 dose,0
2021-07-21,0-9 ans,Vacciné 2 doses,0
