Date,Statut_Vaccinal,Nb_Nvelles_Hosp,GrAge_Admission
2021-07-18,0 à 4 ans,0,0-9 ans
2021-07-18,Non-vacciné,0,0-9 ans
2021-07-18,Vacciné 1 dose,0,0-9 ans
2021-07-18,Vacciné 2 doses,0,0-9 ans
2021-07-18,Non-vacciné,0,10-19 ans
2021-07-18,Vacciné 1 dose,0,10-19 ans
2021-07-18,Vacciné 2 doses,0,10-19 ans
2021-07-18,Non-vacciné,0,20-29 ans
2021-07-18,Vacciné 1 dose,0,20-29 ans
2021-07-18,Vacciné 2 doses,0,20-29 ans
2021-07-18,Non-vacciné,1,30-39 ans
2021-07-18,Vacciné 1 dose,1,30-39 ans
2021-07-18,Vacciné 2 doses,0,30-39 ans
2021-07-18,Non-vacciné,0,40-49 ans
2021-07-18,Vacciné 1 dose,0,40-49 ans
2021-07-18,Vacciné 2 doses,0,40-49 ans
2021-07-18,Non-vacciné,0,50-59 ans
2021-07-18,Vacciné 1 dose,0,50-59 ans
2021-07-18,Vacciné 2 doses,1,50-59 ans
2021-07-18,Non-vacciné,0,60-69 ans
2021-07-18,Vacciné 1 dose,0,60-69 ans
2021-07-18,Vacciné 2 doses,0,60-69 ans
2021-07-18,Non-vacciné,0,70-79 ans
2021-07-18,Vacciné 1 dose,0,70-79 ans
2021-07-18,Vacciné 2 doses,0,70-79 ans
2021-07-18,Non-vacciné,0,80-89 ans
2021-07-18,Vacciné 1 dose,0,80-89 ans
2021-07-18,Vacciné 2 doses,0,80-89 ans
2021-07-18,Non-vacciné,0,90 ans et plus
2021-07-18,Vacciné 1 dose,0,90 ans et plus
2021-07-18,Vacciné 2 doses,0,90 ans et plus
2021-07-19,0 à 4 ans,0,0-9 ans
2021-07-19,Non-vacciné,0,0-9 ans
2021-07-19,Vacciné 1 dose,0,0-9 ans
2021-07-19,Vacciné 2 doses,0,0-9 ans
2021-07-19,Non-vacciné,0,10-19 ans
2021-07-19,Vacciné 1 dose,0,10-19 ans
2021-07-19,Vacciné 2 doses,0,10-19 ans
2021-07-19,Non-vacciné,0,20-29 ans
2021-07-19,Vacciné 1 dose,0,20-29 ans
2021-07-19,Vacciné 2 doses,0,20-29 ans
2021-07-19,Non-vacciné,0,30-39 ans
2021-07-19,Vacciné 1 dose,0,30-39 ans
2021-07-19,Vacciné 2 doses,0,30-39 ans
2021-07-19,Non-vacciné,0,40-49 ans
2021-07-19,Vacciné 1 dose,0,40-49 ans
2021-07-19,Vacciné 2 doses,0,40-49 ans
2021-07-19,Non-vacciné,0,50-59 ans
2021-07-19,Vacciné 1 dose,0,50-59 ans
2021-07-19,Vacciné 2 doses,0,50-59 ans
2021-07-19,Non-vacciné,0,60-69 ans
2021-07-19,Vacciné 1 dose,1,60-69 ans
2021-07-19,Vacciné 2 doses,0,60-69 ans
2021-07-19,Non-vacciné,0,70-79 ans
2021-07-19,Vacciné 1 dose,0,70-79 ans
2021-07-19,Vacciné 2 doses,0,70-79 ans
2021-07-19,Non-vacciné,0,80-89 ans
2021-07-19,Vacciné 1 dose,0,80-89 ans
2021-07-19,Vacciné 2 doses,0,80-89 ans
2021-07-19,Non-vacciné,0,90 ans et plus
2021-07-19,Vacciné 1 dose,0,90 ans et plus
2021-07-19,Vacciné 2 doses,0,90 ans et plus
2021-07-20,0 à 4 ans,0,0-9 ans
2021-07-20,Non-vacciné,0,0-9 ans
2021-07-20,Vacciné 1 dose,0,0-9 ans
2021-07-20,Vacciné 2 doses,0,0-9 ans
2021-07-20,Non-vacciné,0,10-19 ans
2021-07-20,Vacciné 1 dose,0,10-19 ans
2021-07-20,Vacciné 2 doses,0,10-19 ans
2021-07-20,Non-vacciné,0,20-29 ans
2021-07-20,Vacciné 1 dose,0,20-29 ans
2021-07-20,Vacciné 2 doses,0,20-29 ans
2021-07-20,Non-vacciné,1,30-39 ans
2021-07-20,Vacciné 1 dose,0,30-39 ans
2021-07-20,Vacciné 2 doses,0,30-39 ans
2021-07-20,Non-vacciné,0,40-49 ans
2021-07-20,Vacciné 1 dose,0,40-49 ans
2021-07-20,Vacciné 2 doses,0,40-49 ans
2021-07-20,Non-vacciné,0,50-59 ans
2021-07-20,Vacciné 1 dose,0,50-59 ans
2021-07-20,Vacciné 2 doses,0,50-59 ans
2021-07-20,Non-vacciné,2,60-69 ans
2021-07-20,Vacciné 1 dose,0,60-69 ans
2021-07-20,Vacciné 2 doses,0,60-69 ans
2021-07-20,Non-vacciné,0,70-79 ans
2021-07-20,Vacciné 1 dose,0,70-79 ans
2021-07-20,Vacciné 2 doses,0,70-79 ans
2021-07-20,Non-vacciné,0,80-89 ans
2021-07-20,Vacciné 1 dose,0,80-89 ans
2021-07-20,Vacciné 2 doses,0,80-89 ans
2021-07-20,Non-vacciné,1,90 ans et plus
2021-07-20,Vacciné 1 dose,0,90 ans et plus
2021-07-20,Vacciné 2 doses,0,90 ans et plus
2021-07-21,0 à 4 ans,0,0-9 ans
2021-07-21,Non-vacciné,0,0-9 ans
2021-07-21,Vacciné 1 dose,0,0-9 ans
2021-07-21,Vacciné 2 doses,0,0-9 ans
2021-07-21,Non-vacciné,0,10-19 ans
2021-07-21,Vacciné 1 dose,0,10-19 ans
2021-07-21,Vacciné 2 doses,0,10-19 ans
2021-07-21,Non-vacciné,0,20-29 ans
2021-07-21,Vacciné 1 dose,0,20-29 ans
2021-07-21,Vacciné 2 doses,0,20-29 ans
2021-07-21,Non-vacciné,0,30-39 ans
2021-07-21,Vacciné 1 dose,0,30-39 ans
2021-07-21,Vacciné 2 doses,0,30-39 ans
2021-07-21,Non-vacciné,0,40-49 ans
2021-07-21,Vacciné 1 dose,0,40-49 ans
2021-07-21,Vacciné 2 doses,0,40-49 ans
2021-07-21,Non-vacciné,1,50-59 ans
