Date,GrAge_Declaration,Statut_Vaccinal,Nb_Nvx_Cas
2021-07-18,0-9 ans,0 à 4 ans,5
2021-07-18,0-9 ans,Non-vacciné,6
2021-07-18,0-9 ans,Vacciné 1 dose,0
2021-07-18,0-9 ans,Vacciné 2 doses,0
2021-07-18,10-19 ans,Non-vacciné,5
2021-07-18,10-19 ans,Vacciné 1 dose,2
2021-07-18,10-19 ans,Vacciné 2 doses,0
2021-07-18,20-29 ans,Non-vacciné,8
2021-07-18,20-29 ans,Vacciné 1 dose,7
2021-07-18,20-29 ans,Vacciné 2 doses,1
2021-07-18,30-39 ans,Non-vacciné,8
2021-07-18,30-39 ans,Vacciné 1 dose,2
2021-07-18,30-39 ans,Vacciné 2 doses,1
2021-07-18,40-49 ans,Non-vacciné,5
2021-07-18,40-49 ans,Vacciné 1 dose,4
2021-07-18,40-49 ans,Vacciné 2 doses,1
2021-07-18,50-59 ans,Non-vacciné,3
2021-07-18,50-59 ans,Vacciné 1 dose,1
2021-07-18,50-59 ans,Vacciné 2 doses,0
2021-07-18,60-69 ans,Non-vacciné,1
2021-07-18,60-69 ans,Vacciné 1 dose,0
2021-07-18,60-69 ans,Vacciné 2 doses,1
2021-07-18,70-79 ans,Non-vacciné,0
2021-07-18,70-79 ans,Vacciné 1 dose,1
2021-07-18,70-79 ans,Vacciné 2 doses,2
2021-07-18,80-89 ans,Non-vacciné,1
2021-07-18,80-89 ans,Vacciné 1 dose,0
2021-07-18,80-89 ans,Vacciné 2 doses,0
2021-07-18,90 ans et plus,Non-vacciné,0
2021-07-18,90 ans et plus,Vacciné 1 dose,0
2021-07-18,90 ans et plus,Vacciné 2 doses,0
2021-07-18,Inconnu,Non-vacciné,0
2021-07-18,Inconnu,Vacciné 1 dose,0
2021-07-18,Inconnu,Vacciné 2 doses,0
2021-07-19,0-9 ans,0 à 4 ans,3
2021-07-19,0-9 ans,Non-vacciné,3
2021-07-19,0-9 ans,Vacciné 1 dose,0
2021-07-19,0-9 ans,Vacciné 2 doses,0
2021-07-19,10-19 ans,Non-vacciné,7
2021-07-19,10-19 ans,Vacciné 1 dose,1
2021-07-19,10-19 ans,Vacciné 2 doses,1
2021-07-19,20-29 ans,Non-vacciné,16
2021-07-19,20-29 ans,Vacciné 1 dose,6
2021-07-19,20-29 ans,Vacciné 2 doses,0
2021-07-19,30-39 ans,Non-vacciné,10
2021-07-19,30-39 ans,Vacciné 1 dose,10
2021-07-19,30-39 ans,Vacciné 2 doses,0
2021-07-19,40-49 ans,Non-vacciné,4
2021-07-19,40-49 ans,Vacciné 1 dose,2
2021-07-19,40-49 ans,Vacciné 2 doses,1
2021-07-19,50-59 ans,Non-vacciné,5
2021-07-19,50-59 ans,Vacciné 1 dose,2
2021-07-19,50-59 ans,Vacciné 2 doses,2
2021-07-19,60-69 ans,Non-vacciné,1
2021-07-19,60-69 ans,Vacciné 1 dose,1
2021-07-19,60-69 ans,Vacciné 2 doses,2
2021-07-19,70-79 ans,Non-vacciné,0
2021-07-19,70-79 ans,Vacciné 1 dose,1
2021-07-19,70-79 ans,Vacciné 2 doses,0
2021-07-19,80-89 ans,Non-vacciné,0
2021-07-19,80-89 ans,Vacciné 1 dose,0
2021-07-19,80-89 ans,Vacciné 2 doses,0
2021-07-19,90 ans et plus,Non-vacciné,0
2021-07-19,90 ans et plus,Vacciné 1 dose,0
2021-07-19,90 ans et plus,Vacciné 2 doses,0
2021-07-19,Inconnu,Non-vacciné,0
2021-07-19,Inconnu,Vacciné 1 dose,0
2021-07-19,Inconnu,Vacciné 2 doses,0
2021-07-20,0-9 ans,0 à 4 ans,5
2021-07-20,0-9 ans,Non-vacciné,6
2021-07-20,0-9 ans,Vacciné 1 dose,0
