Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;13;89;81;9627;8764,4;0;;0;
5-9 ans;9;94;87,4;14897;13847,4;0;;0;
10-19 ans;25;381;191,5;30264;15214,5;0;;0;
20-29 ans;90;1632;501,3;57557;17678,4;0;;5;n.p.
30-39 ans;81;1329;404,9;51592;15719,1;0;;10;* 3
40-49 ans;91;1057;380,8;44305;15960,3;0;;33;* 11,9
50-59 ans;76;798;311,1;33765;13163,7;0;;145;56,5
60-69 ans;38;410;189,5;19444;8988;0;;392;181,2
70-79 ans;35;320;221,4;11437;7914,4;< 5;n.p.;952;658,8
80 ans et +;41;314;312,2;17956;17850,5;7;n.p.;3812;3789,6
Manquant;-1;10;;196;;0;;0;
Total;498;6434;311,5;291040;14089,5;10;* 0,5;5349;258,9
