Regroupement;Croisement;Nom;cas_tot_n;cas_0cond_n;cas_0cond_p;cas_1cond_n;cas_1cond_p;cas_2cond_n;cas_2cond_p;dec_tot_n;dec_0cond_n;dec_0cond_p;dec_1cond_n;dec_1cond_p;dec_2cond_n;dec_2cond_p
Région;RSS01;01 - Bas-Saint-Laurent;     18784;     10493;       55.9;      3935;       20.9;      4356;       23.2;       147;         8;        5.4;        11;        7.5;       128;       87.1
Région;RSS02;02 - Saguenay–Lac-Saint-Jean;     27848;     14593;       52.4;      6496;       23.3;      6759;       24.3;       402;         6;        1.5;        21;        5.2;       375;       93.3
Région;RSS03;03 - Capitale-Nationale;     80727;     48274;       59.8;     16055;       19.9;     16398;       20.3;      1473;        32;        2.2;       107;        7.3;      1334;       90.6
Région;RSS04;04 - Mauricie et Centre-du-Québec;     54509;     31344;       57.5;     10522;       19.3;     12643;       23.2;       946;        28;        3.0;        49;        5.2;       869;       91.9
Région;RSS05;05 - Estrie;     45362;     26583;       58.6;      9314;       20.5;      9465;       20.9;       562;        22;        3.9;        29;        5.2;       511;       90.9
Région;RSS06;06 - Montréal;    263116;    162894;       61.9;     47435;       18.0;     52787;       20.1;      5288;       161;        3.0;       252;        4.8;      4875;       92.2
Région;RSS07;07 - Outaouais;     34931;     23266;       66.6;      6053;       17.3;      5612;       16.1;       293;        10;        3.4;        14;        4.8;       269;       91.8
Région;RSS08;08 - Abitibi-Témiscamingue;      9811;      5268;       53.7;      2130;       21.7;      2413;       24.6;       104;         6;        5.8;         8;        7.7;        90;       86.5
Région;RSS09;09 - Côte-Nord;      7292;      4187;       57.4;      1329;       18.2;      1776;       24.4;        41;n.d.;n.d.;n.d.;n.d.;        36;       87.8
Région;RSS10;10 - Nord-du-Québec;      1271;       798;       62.8;       232;       18.3;       241;       19.0;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Région;RSS11;11 - Gaspésie–Îles-de-la-Madeleine;      8260;      4263;       51.6;      1721;       20.8;      2276;       27.6;        76;n.d.;n.d.;n.d.;n.d.;        67;       88.2
Région;RSS12;12 - Chaudière-Appalaches;     57814;     35504;       61.4;     11114;       19.2;     11196;       19.4;       596;        17;        2.9;        43;        7.2;       536;       89.9
Région;RSS13;13 - Laval;     66928;     42177;       63.0;     13141;       19.6;     11610;       17.3;      1061;        14;        1.3;        63;        5.9;       984;       92.7
Région;RSS14;14 - Lanaudière;     65815;     40877;       62.1;     13320;       20.2;     11618;       17.7;       736;        17;        2.3;        32;        4.3;       687;       93.3
Région;RSS15;15 - Laurentides;     73658;     46063;       62.5;     14328;       19.5;     13267;       18.0;       714;        16;        2.2;        29;        4.1;       669;       93.7
Région;RSS16;16 - Montérégie;    136896;     81420;       59.5;     27150;       19.8;     28326;       20.7;      2078;        47;        2.3;       100;        4.8;      1931;       92.9
Région;RSS17;17 - Nunavik;      2658;      1702;       64.0;       425;       16.0;       531;       20.0;         9;n.d.;n.d.;n.d.;n.d.;         8;       88.9
Région;RSS18;18 - Terres-Cries-de-la-Baie-James;      2499;      1605;       64.2;       391;       15.6;       503;       20.1;        13;n.d.;n.d.;n.d.;n.d.;        11;       84.6
Région;RSS997;Total Québec jumelés;    958387;    581478;       60.7;    185120;       19.3;    191789;       20.0;     14544;       393;        2.7;       766;        5.3;     13385;       92.0
Groupe d'âge;0_9;Moins de 10 ans;     79252;     67260;       84.9;      9591;       12.1;      2401;        3.0;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Groupe d'âge;10_19;10-19 ans;    108355;     89899;       83.0;     15160;       14.0;      3296;        3.0;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Groupe d'âge;20_29;20-29 ans;    155560;    123826;       79.6;     23349;       15.0;      8385;        5.4;        12;n.d.;n.d.;n.d.;n.d.;         8;       66.7
Groupe d'âge;30_39;30-39 ans;    157096;    107501;       68.4;     33618;       21.4;     15977;       10.2;        38;n.d.;n.d.;n.d.;n.d.;        27;       71.1
Groupe d'âge;40_49;40-49 ans;    156284;     97855;       62.6;     37348;       23.9;     21081;       13.5;        84;        20;       23.8;        16;       19.0;        48;       57.1
Groupe d'âge;50_59;50-59 ans;    122209;     62709;       51.3;     33095;       27.1;     26405;       21.6;       338;        37;       10.9;        34;       10.1;       267;       79.0
Groupe d'âge;60_69;60-69 ans;     70025;     24209;       34.6;     18848;       26.9;     26968;       38.5;      1022;        67;        6.6;        90;        8.8;       865;       84.6
Groupe d'âge;70_79;70-79 ans;     43977;      5711;       13.0;      8084;       18.4;     30182;       68.6;      2956;        82;        2.8;       188;        6.4;      2686;       90.9
Groupe d'âge;80_89;80-89 ans;     42119;      1830;        4.3;      4249;       10.1;     36040;       85.6;      5596;        91;        1.6;       250;        4.5;      5255;       93.9
Groupe d'âge;90_;90 ans et plus;     23510;       678;        2.9;      1778;        7.6;     21054;       89.6;      4495;        84;        1.9;       184;        4.1;      4227;       94.0
