Regroupement,Croisement,Nom,Cumul,nbPrelPos,nombreSequencageA,nombreSequencageB,nombreSequencageG,NbrConfirmeDelta,nbrDeltaHospit,NbrPresomptifDelta,nbrDeltaPresomptif,nbrCriblageDelta,Delta_Total,NbrAutres,NbrAutre2,Total_VOC,nbrNonVOC,nbrCribETSeq,nbrCrib,nbrSeq,nbrCribOUSeq,nbrOmicronPresomptifP681R,nbrOmicronPresomptif,nbrCriblageBA1,nbrCriblageBA2,nbrCriblageBA1LSPQ,nbrCriblageBA2LSPQ,nbrOmicronTotalCrib,nbrBA2SANGER,nbrOmicronSanger,nbrSeqBA2,nbrOmicronSeq,nbrOmicronTotalSeq,Omicron_Total
Région,RSS01,01 - Bas-Saint-Laurent,Total,18972,994,0,0,81,3,97,1,0,182,17495,17024,1477,471,207,1674,565,1948,0,18,3,0,0,0,21,0,0,32,280,280,301
Région,RSS02,02 - Saguenay-Lac-Saint-Jean,Total,21892,997,0,0,111,10,177,0,0,298,20294,19529,1598,765,212,1984,566,2363,0,27,9,0,0,0,36,0,0,31,267,267,303
Région,RSS03,03 - Capitale-Nationale,Total,69023,6282,5,11,628,0,711,52,0,1391,58934,56057,10089,2877,1158,9965,1898,12966,14,313,1279,180,16,73,1875,0,0,80,525,525,2400
Région,RSS04,04 - Mauricie et Centre-du-Québec,Total,47930,1652,1,2,333,96,822,1,0,1252,44138,43578,3792,560,419,4285,1064,4352,7,417,4,0,0,0,428,0,0,154,457,457,885
Région,RSS05,05 - Estrie,Total,40825,2033,0,11,703,14,810,1,0,1528,36814,35825,4011,989,623,3981,1378,5000,4,32,3,1,1,1,42,0,0,59,397,397,439
Région,RSS06,06 - Montréal,Total,228134,13819,126,285,4442,54,6569,516,3,11584,195545,180849,32589,14696,7182,30470,10299,47285,2209,885,1256,702,142,275,5469,0,0,368,1306,1306,6775
Région,RSS07,07 - Outaouais,Total,33043,3838,17,33,221,2,1053,0,0,1276,27542,26561,5501,981,238,4821,1209,6482,7,36,3,1,0,0,47,0,0,107,290,290,337
Région,RSS08,08 - Abitibi-Témiscamingue,Total,9512,103,187,0,38,1,40,2,0,81,8960,8660,552,300,45,258,428,852,0,5,1,1,0,1,8,0,0,18,173,173,181
Région,RSS09,09 - Côte-Nord,Total,7825,163,0,0,14,0,54,0,0,68,7481,7440,344,41,22,279,134,385,0,6,8,2,0,0,16,0,0,12,97,97,113
Région,RSS10,10 - Nord-du-Québec,Total,1148,22,1,0,5,0,11,1,0,17,1084,1064,64,20,13,50,27,84,1,0,3,0,0,0,4,0,0,1,20,20,24
Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,Total,7078,185,0,0,34,0,56,1,0,91,6627,6578,451,49,38,346,216,500,0,3,3,0,0,0,6,0,0,20,169,169,175
Région,RSS12,12 - Chaudière-Appalaches,Total,53583,3450,1,10,611,13,1541,6,0,2171,47434,46187,6149,1247,881,8248,1662,7396,1,88,96,9,1,4,199,0,0,59,318,318,517
Région,RSS13,13 - Laval,Total,53464,3270,13,23,638,3,2926,34,0,3601,45572,42552,7892,3020,813,7240,1611,10912,129,40,293,122,46,42,672,0,0,84,313,313,985
Région,RSS14,14 - Lanaudière,Total,53970,1819,38,11,530,13,1868,104,0,2515,48412,45951,5558,2461,746,5288,1182,8019,114,112,407,64,54,11,762,0,0,86,413,413,1175
Région,RSS15,15 - Laurentides,Total,66851,2559,33,59,552,7,2626,199,0,3384,58667,55330,8184,3337,1161,7583,1426,11521,490,225,627,101,40,24,1507,0,0,142,642,642,2149
Région,RSS16,16 - Montérégie,Total,116542,4292,26,155,1991,46,2552,80,0,4669,105215,100845,11327,4370,2496,10706,4002,15697,385,524,67,24,37,23,1060,0,0,336,1125,1125,2185
Région,RSS00,Inconnu,Total,5833,52,1,0,259,1,64,2,0,326,5336,5129,497,207,42,271,405,704,9,15,9,1,1,0,35,0,0,8,83,83,118
Région,RSS98,Hors-Québec,Total,5869,125,11,10,207,2,112,0,0,321,5188,5066,681,122,213,321,485,803,16,16,4,0,0,0,36,0,0,70,178,178,214
Région,RSS99,Ensemble du Québec,Total,841494,45655,460,610,11398,265,22089,1000,3,34755,740738,704225,100756,36513,16509,97770,28557,137269,3386,2762,4075,1208,338,454,12223,0,0,1667,7053,7053,19276

