,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20605,27,20566,39,173,0,20157,275,197738.33333,10420.34,139.13,87.49,27,844,1
02,02 - Saguenay-Lac-Saint-Jean,30205,19,29844,361,439,0,29425,341,278600,10841.71,122.40,157.57,36,1606,2
03,03 - Capitale-Nationale,88068,51,87707,361,1548,1,85701,819,761103.66667,11571.09,106.84,203.39,58,4240,2
04,04 - Mauricie et Centre-du-Québec,58673,23,58433,240,1003,1,57134,536,527666.66667,11119.33,101.08,190.08,64,3163,0
05,05 - Estrie,49440,11,48916,524,620,0,48194,626,502406,9840.65,123.23,123.41,67,2735,1
06,06 - Montréal,307871,91,304510,3361,5473,0,300372,2026,2061667.3333,14933.11,97.80,265.46,186,16060,9
07,07 - Outaouais,39609,7,39164,445,314,0,39049,246,405378.66667,9770.86,60.04,77.46,31,1833,4
08,08 - Abitibi-Témiscamingue,10869,10,10828,41,110,0,10668,91,147876.33333,7350.06,61.51,74.39,5,626,2
09,09 - Côte-Nord,8509,18,8483,26,46,0,8252,211,90082.333333,9445.80,235.31,51.06,21,486,0
10,10 - Nord-du-Québec,1484,1,1255,229,4,0,1473,7,13383.666667,11088.14,52.62,29.89,3,52,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8995,15,8958,37,82,0,8799,114,90783.333333,9908.21,125.42,90.32,14,429,0
12,12 - Chaudière-Appalaches,61032,18,60749,283,660,1,59997,375,434525.66667,14045.66,85.90,151.89,42,2533,8
13,13 - Laval,71256,13,69296,1960,1110,0,69827,319,445993.33333,15976.92,70.87,248.88,29,3230,1
14,14 - Lanaudière,69543,23,68827,716,768,0,68374,401,530581,13106.95,74.67,144.75,42,2801,1
15,15 - Laurentides,79018,26,78413,605,758,0,77537,723,640046.66667,12345.66,111.45,118.43,76,3714,8
16,16 - Montérégie,148415,64,146502,1913,2221,0,144903,1291,1452381.3333,10218.74,88.01,152.92,128,8033,4
17,17 - Nunavik,3004,0,2998,6,10,0,2985,9,14619,20548.60,60.52,68.40,2,111,0
18,18 - Terres-Cries-de-la-Baie-James,2933,0,2535,398,16,0,2900,17,18660.333333,15717.83,89.61,85.74,4,99,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,375,1
99,Hors Québec,2923,0,2915,8,2,0,2900,21,.,.,.,.,1,0,0
999,Ensemble du Québec,1062452,417,1050899,11553,15357,3,1038647,8448,8613493.6667,12334.74,97.36,178.29,836,52970,44

