Date,Regroupement,Croisement,Nom,vac_quo_1_n,vac_quo_2_n,vac_quo_3_n,vac_quo_4_n,vac_cum_1_n,vac_cum_2_n,vac_cum_3_n,vac_cum_4_n,vac_quo_tot_n,vac_cum_tot_n,cvac_cum_tot_1_p,cvac_cum_tot_2_p,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-14,Région,RSS00,Inconnue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-14,Région,RSS01,01 - Bas-Saint-Laurent,1,0,0,0,1,0,0,0,1,1,0.0004917702,0,0,1,0,1,0,
2020-12-14,Région,RSS02,02 - Saguenay - Lac-Saint-Jean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-14,Région,RSS03,03 - Capitale-Nationale,142,0,0,0,142,0,0,0,142,142,0.0145128115,0,0.0002638693,110,0,110,0,
2020-12-14,Région,RSS04,04 - Mauricie et Centre-du-Québec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-14,Région,RSS05,05 - Estrie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-14,Région,RSS06,06 - Montréal,148,0,0,0,148,0,0,0,148,148,0.0059391134,0,0.0020304661,117,0,117,0,
2020-12-14,Région,RSS07,07 - Outaouais,1,0,0,0,1,0,0,0,1,1,0.0002361928,0,0,1,0,1,0,
2020-12-14,Région,RSS08,08 - Abitibi-Témiscamingue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-14,Région,RSS09,09 - Côte-Nord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-14,Région,RSS10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-14,Région,RSS11,11 - Gaspésie - Îles-de-la-Madeleine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-14,Région,RSS12,12 - Chaudière-Appalaches,5,0,0,0,5,0,0,0,5,5,0.0009008076,0,0,4,0,4,0,
2020-12-14,Région,RSS13,13 - Laval,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,
2020-12-14,Région,RSS14,14 - Lanaudière,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-14,Région,RSS15,15 - Laurentides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-14,Région,RSS16,16 - Montérégie,1,0,0,0,1,0,0,0,1,1,0.0000678836,0,0,1,0,1,0,
2020-12-14,Région,RSS17,17 - Nunavik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-14,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-14,Région,RSS98,Hors Québec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-14,Région,RSS99,Ensemble du Québec,299,0,0,0,299,0,0,0,299,299,0.0027062219,0,0.0004857321,234,0,234,0,
2020-12-14,Groupe d'âge 1,GR1_0_15,Moins de 16 ans,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,
2020-12-14,Groupe d'âge 1,GR1_16_59,16 à 59 ans,68,0,0,0,68,0,0,0,68,68,0.00137573,0,0.0000208444,66,0,66,0,
2020-12-14,Groupe d'âge 1,GR1_60_69,60 à 69 ans,26,0,0,0,26,0,0,0,26,26,0.0022535778,0,0.0003467043,26,0,26,0,
2020-12-14,Groupe d'âge 1,GR1_70_79,70 à 79 ans,35,0,0,0,35,0,0,0,35,35,0.0031479208,0,0.0011332515,25,0,25,0,
2020-12-14,Groupe d'âge 1,GR1_80_,80 ans et plus,169,0,0,0,169,0,0,0,169,169,0.0267872474,0,0.0064106233,117,0,117,0,
2020-12-14,Groupe d'âge 1,TOT,Total,299,0,0,0,299,0,0,0,299,299,0.0027062219,0,0.0004857321,234,0,234,0,
2020-12-14,Sexe,FEM,Féminin,198,0,0,0,198,0,0,0,198,198,,,,,,,,
2020-12-14,Sexe,INC,Inconnu,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2020-12-14,Sexe,MASC,Masculin,101,0,0,0,101,0,0,0,101,101,,,,,,,,
2020-12-14,Sexe,TOT,Total,299,0,0,0,299,0,0,0,299,299,,,,,,,,
2020-12-14,Groupe prioritaire,GRP-Autres,Autres raisons,8,0,0,0,8,0,0,0,8,8,,,,,,,,
2020-12-14,Groupe prioritaire,GRP-CHSLD,Résident en CHSLD,231,0,0,0,231,0,0,0,231,231,0.3740619939,0,0.0935154985,164,0,164,0,
2020-12-14,Groupe prioritaire,GRP-MC,Maladie chronique,0,0,0,0,0,0,0,0,0,0,0.0068503347,0,0.0015690711,179,0,179,0,
2020-12-14,Groupe prioritaire,GRP-RPA,Résident en RPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-14,Groupe prioritaire,GRP-TS,Travailleur de la santé,60,0,0,0,60,0,0,0,60,60,0.015403341,0,0.0003020263,51,0,51,0,
2020-12-14,Groupe prioritaire,TOT,Total,299,0,0,0,299,0,0,0,299,299,,,,,,,,
2020-12-14,Groupe d'âge 2,GR2_00_4,Moins de 5 ans,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,
2020-12-14,Groupe d'âge 2,GR2_05_11,5 à 11 ans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-14,Groupe d'âge 2,GR2_12_17,12 à 17 ans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-14,Groupe d'âge 2,GR2_18_29,18 à 29 ans,10,0,0,0,10,0,0,0,10,10,0.0005837634,0,0.0000833948,7,0,7,0,
2020-12-14,Groupe d'âge 2,GR2_30_49,30 à 49 ans,36,0,0,0,36,0,0,0,36,36,0.0017278259,0,0,40,0,40,0,
2020-12-14,Groupe d'âge 2,GR2_50_69,50 à 69 ans,48,0,0,0,48,0,0,0,48,48,0.0019923635,0,0.000177099,45,0,45,0,
2020-12-14,Groupe d'âge 2,GR2_70_79,70 à 79 ans,35,0,0,0,35,0,0,0,35,35,0.0031479208,0,0.0011332515,25,0,25,0,
2020-12-14,Groupe d'âge 2,GR2_80_,80 ans et plus,169,0,0,0,169,0,0,0,169,169,0.0267872474,0,0.0064106233,117,0,117,0,
2020-12-14,Groupe d'âge 2,TOT,Total,299,0,0,0,299,0,0,0,299,299,0.0027062219,0,0.0004857321,234,0,234,0,
2020-12-14,Groupe d'âge 2,GR2_12_,12 ans et plus,298,0,0,0,298,0,0,0,298,298,0.0030875067,0,0.0005541679,234,0,234,0,
2020-12-15,Région,RSS00,Inconnue,4,0,0,0,4,0,0,0,4,4,0.0130276186,0,0,3,0,3,0,
2020-12-15,Région,RSS01,01 - Bas-Saint-Laurent,0,0,0,0,1,0,0,0,0,1,0.0004917702,0,0,0,0,1,0,
2020-12-15,Région,RSS02,02 - Saguenay - Lac-Saint-Jean,5,0,0,0,5,0,0,0,5,5,0.0017479523,0,0,5,0,5,0,
2020-12-15,Région,RSS03,03 - Capitale-Nationale,642,0,0,0,784,0,0,0,642,784,0.0923542551,0,0.0039580395,590,0,700,0,
2020-12-15,Région,RSS04,04 - Mauricie et Centre-du-Québec,8,0,0,0,8,0,0,0,8,8,0.0014904685,0,0,8,0,8,0,
2020-12-15,Région,RSS05,05 - Estrie,1,0,0,0,1,0,0,0,1,1,0.0001921237,0,0,1,0,1,0,
2020-12-15,Région,RSS06,06 - Montréal,383,0,0,0,531,0,0,0,383,531,0.0243655935,0,0.0049238804,363,0,480,0,
2020-12-15,Région,RSS07,07 - Outaouais,0,0,0,0,1,0,0,0,0,1,0.0011809638,0,0,4,0,5,0,
2020-12-15,Région,RSS08,08 - Abitibi-Témiscamingue,1,0,0,0,1,0,0,0,1,1,0.0006602926,0,0,1,0,1,0,
2020-12-15,Région,RSS09,09 - Côte-Nord,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,
