Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les derniers 7 jours;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;130;237;176,5;22381;16671,8;< 5;n.p.;540;402,2
Anjou;41;68;158,9;7510;17548,4;< 5;n.p.;89;208
Baie D'urfé;< 5;5;n.p.;377;9861,4;0;;< 5;n.p.
Beaconsfield;18;34;* 175,9;1950;10091,1;0;;27;* 139,7
Côte-des-Neiges–Notre-Dame-de-Grâce;191;317;190,4;26823;16108;< 5;n.p.;422;253,4
Côte-Saint-Luc;60;81;249,6;6225;19184,5;< 5;n.p.;133;409,9
Dollard-des-Ormeaux;49;83;169,7;7024;14364,3;0;;135;276,1
Dorval;24;35;* 184,4;2492;13129,6;0;;70;368,8
Hampstead;14;31;* 444,6;1421;20378,6;0;;7;n.p.
Kirkland;23;37;183,6;2367;11746,3;0;;41;203,5
Lachine;50;110;247,3;7140;16048,9;0;;197;442,8
LaSalle;68;112;145,7;12353;16073,5;0;;262;340,9
L'Île-Bizard–Sainte-Geneviève;12;31;* 168,4;2703;14679,8;< 5;n.p.;85;461,6
Mercier–Hochelaga-Maisonneuve;146;272;200;21840;16056;0;;522;383,8
Montréal Est;0;< 5;n.p.;759;19714,3;0;;12;* 311,7
Montréal-Nord;86;144;171;16339;19397,2;< 5;n.p.;401;476,1
Montréal-Ouest;< 5;9;n.p.;671;13287,1;0;;< 5;n.p.
Mont-Royal;19;45;221,9;3083;15205,2;0;;96;473,5
Outremont;21;47;196,2;3314;13834,9;0;;31;* 129,4
Pierrefonds–Roxboro;62;112;161,6;9978;14398,9;0;;107;154,4
Plateau Mont-Royal;102;168;161,5;14374;13821,2;0;;203;195,2
Pointe-Claire;43;82;261,3;3439;10959,2;0;;70;223,1
Rivière-des-Prairies–Pointe-aux-Trembles;132;208;194,9;19572;18335,6;0;;362;339,1
Rosemont–La Petite Patrie;166;288;206,3;20438;14641,4;0;;368;263,6
Sainte-Anne-de-Bellevue;< 5;7;n.p.;551;11113,4;0;;18;* 363
Saint-Laurent;87;175;177,1;16218;16410,3;< 5;n.p.;176;178,1
Saint-Léonard;67;106;135,4;15408;19676,9;< 5;n.p.;178;227,3
Senneville;0;0;;98;10640,6;0;;0;
Sud-Ouest;65;126;161,2;11137;14250,6;0;;238;304,5
Verdun;69;118;170,4;8851;12785,1;0;;220;317,8
Ville-Marie;86;157;176,1;13995;15694,7;0;;161;180,6
Villeray–Saint-Michel–Parc-Extension;125;228;158,5;23818;16557,2;< 5;n.p.;256;178
Westmount;26;45;221,5;2585;12726,5;0;;66;324,9
Territoire à confirmer;105;163;;8910;;0;;31;
Total à Montréal;2096;3684;178,3;316145;15304,8;11;*0,5;5530;267,7
