No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,n.d.,n.d.,186,890.89,508,2437.27,61,292.66,995,4776.19,741,3558.74
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,23,65.87,278,795.08,1003,2864.49,27,77.11,2159,6149.07,1535,4359.93
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,5,25.95,134,696.34,278,1446.64,38,197.74,1041,5425.41,704,3674.71
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,n.d.,n.d.,34,396.06,181,2113.50,6,70.06,398,4656.60,367,4302.46
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,11,19.06,577,1000.03,220,381.37,116,201.09,3203,5541.95,2818,4866.68
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,n.d.,n.d.,87,482.42,99,550.34,37,205.68,1085,6043.56,798,4453.87
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,0,0.00,233,1122.38,25,120.87,37,178.89,1006,4870.37,741,3592.20
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,n.d.,n.d.,45,255.49,35,199.24,313,1781.75,1012,5772.30,769,4395.04
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),53,26.77,1588,802.93,2355,1192.01,639,323.44,10939,5535.54,8483,4291.65
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,n.d.,n.d.,500,1609.22,300,968.18,40,129.09,1532,4948.32,1231,3979.44
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,5,19.89,713,2842.62,285,1138.72,156,623.30,1057,4231.39,664,2663.24
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,29,55.25,2305,4390.98,463,881.90,44,83.81,2360,4493.44,1622,3087.05
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,52,76.48,1997,2939.92,354,521.64,136,200.40,3327,4902.70,2086,3074.07
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,135,169.59,2620,3298.11,344,433.94,139,175.34,3735,4697.76,2587,3244.38
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,13,57.54,672,2975.03,108,478.26,16,70.85,973,4307.79,596,2638.10
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),247,88.54,8892,3191.65,1871,672.46,545,195.88,13251,4759.45,8867,3182.74
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,58,105.27,1375,2487.47,676,1218.94,121,218.18,2715,4876.56,1160,2075.47
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,956,297.08,9693,3010.97,3758,1166.90,1348,418.57,16513,5097.19,10073,3091.06
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,644,183.07,9456,2680.33,5105,1442.89,1676,473.71,18644,5250.23,10041,2817.23
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,13,45.79,522,1839.74,135,476.09,69,243.33,1483,5225.97,1018,3584.63
03,03 - Capitale-Nationale,,Total (incluant inconnus),1674,221.12,21067,2777.95,9694,1276.09,3231,425.32,39595,5188.55,22547,2941.25
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,n.d.,n.d.,387,2565.72,31,205.65,70,464.38,1262,8368.98,612,4057.01
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,97,376.71,308,1195.49,98,380.17,94,364.65,1133,4390.45,563,2179.30
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,224,977.27,350,1527.98,78,340.75,191,834.39,1095,4783.54,451,1970.21
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,317,485.89,1043,1594.98,172,262.42,280,427.19,3219,4896.34,2248,3409.06
