Tuiles de l'accueil,,,,,,,,Variants,,,,,,,,,,
cas,deces,hospit,soins,gueris,analyses,date,dateComp,dateVariants,Variants séquençage,Variants criblage,Variants proportion +,dateComorbidite,tuileAlpha,tuileBeta,tuileGamma,tuileDelta,omicron Séquençage,omicron Présomptifs
374 660,11 203,,,362 523,20 601,15 mars 2023,15 mars 2023,15 mars 2023,10501,49846,88.3,02-mai-22,45636,466,609,11965,79,2461
76,0,,,125,,,,,0,132,,,9,0,1,685,0,1733
,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,
,,,,,,,,, ,,,,,,,,,
,,,,,,,,, ,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Répartition des hospitalisations par groupe d'âge,,,,,,,,,,,,,,,,,,
Groupe d'âge,Nombre (Total),Soins intensifs,,,,,,,,,,,,,,,,
0-9 ans,0,0,,,,,Total,,,,,,,,,,,
10-19 ans,0,0,,,,,0,,,,,,,,,,,
20-29 ans,0,0,,,,,,,,,,,,,,,,
30-39 ans,0,0,,,,,,,,,,,,,,,,
40-49 ans,0,0,,,,,,,,,,,,,,,,
50-59 ans,0,0,,,,,,,,,,,,,,,,
60-69 ans,0,0,,,,,,,,,,,,,,,,
70-79 ans,0,0,,,,,,,,,,,,,,,,
80-89 ans,0,0,,,,,,,,,,,,,,,,
90 ans et plus,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Hospits et volumétrie,,,,,,,,,,,,,,,,,,
Date,Hospits,SI,Hospits (ancien),Volumétrie,,,,,,,,,,,,,,
27/02/2020,,,0,,,,,,,,,,,,,,,
28/02/2020,,,0,,,,,,,,,,,,,,,
29/02/2020,,,0,,,,,,,,,,,,,,,
01/03/2020,,,0,,,,,,,,,,,,,,,
02/03/2020,,,0,,,,,,,,,,,,,,,
03/03/2020,,,0,,,,,,,,,,,,,,,
04/03/2020,,,0,,,,,,,,,,,,,,,
05/03/2020,,,0,,,,,,,,,,,,,,,
06/03/2020,,,0,,,,,,,,,,,,,,,
07/03/2020,,,0,,,,,,,,,,,,,,,
08/03/2020,,,0,353,,,,,,,,,,,,,,
09/03/2020,,,0,68,,,,,,,,,,,,,,
10/03/2020,,,0,145,,,,,,,,,,,,,,
11/03/2020,,,0,225,,,,,,,,,,,,,,
12/03/2020,,,0,377,,,,,,,,,,,,,,
13/03/2020,,,0,287,,,,,,,,,,,,,,
14/03/2020,,,0,695,,,,,,,,,,,,,,
15/03/2020,,0,2,811,,,,,,,,,,,,,,
16/03/2020,,0,5,1157,,,,,,,,,,,,,,
17/03/2020,,4,2,1459,,,,,,,,,,,,,,
18/03/2020,,4,3,2246,,,,,,,,,,,,,,
19/03/2020,,6,4,3597,,,,,,,,,,,,,,
20/03/2020,,10,9,3990,,,,,,,,,,,,,,
21/03/2020,,13,11,3995,,,,,,,,,,,,,,
22/03/2020,,20,25,4434,,,,,,,,,,,,,,
23/03/2020,,31,36,3952,,,,,,,,,,,,,,
24/03/2020,,35,43,4024,,,,,,,,,,,,,,
25/03/2020,,43,63,5394,,,,,,,,,,,,,,
26/03/2020,,50,91,5299,,,,,,,,,,,,,,
27/03/2020,,57,107,6119,,,,,,,,,,,,,,
28/03/2020,,72,120,5773,,,,,,,,,,,,,,
29/03/2020,,78,157,6856,,,,,,,,,,,,,,
30/03/2020,,82,204,7511,,,,,,,,,,,,,,
31/03/2020,,82,225,7569,,,,,,,,,,,,,,
01/04/2020,,96,269,6493,,,,,,,,,,,,,,
02/04/2020,,107,334,7182,,,,,,,,,,,,,,
03/04/2020,,130,348,7743,,,,,,,,,,,,,,
04/04/2020,,154,371,4990,,,,,,,,,,,,,,
05/04/2020,,164,369,3978,,,,,,,,,,,,,,
06/04/2020,,164,419,4805,,,,,,,,,,,,,,
07/04/2020,,181,451,5394,,,,,,,,,,,,,,
08/04/2020,,196,483,4968,,,,,,,,,,,,,,
09/04/2020,,186,547,5508,,,,,,,,,,,,,,
10/04/2020,,146,612,5267,,,,,,,,,,,,,,
11/04/2020,,156,634,6923,,,,,,,,,,,,,,
12/04/2020,,166,664,6230,,,,,,,,,,,,,,
13/04/2020,,161,730,7016,,,,,,,,,,,,,,
