No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6,Cas vague 7,Taux cas vague 7
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,n.d.,n.d.,186,889.14,508,2427.02,61,291.43,995,4747.70,502,2392.30,733,3489.15
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,23,65.78,278,792.50,1003,2849.84,27,76.72,2159,6115.54,1102,3111.94,1428,4020.89
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,5,25.94,134,691.49,278,1427.03,38,195.06,1041,5338.19,493,2525.49,737,3771.85
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,n.d.,n.d.,34,392.84,181,2076.64,6,68.84,398,4559.78,249,2848.64,355,4055.98
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,11,19.06,574,992.02,222,382.71,117,201.70,3203,5499.09,1750,2992.27,2925,4982.20
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,n.d.,n.d.,87,479.91,99,544.58,37,203.53,1085,5964.65,413,2268.98,908,4985.45
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,0,0.00,233,1118.63,25,120.29,37,178.03,1006,4842.13,460,2214.84,848,4084.68
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,n.d.,n.d.,45,253.81,35,196.59,313,1758.03,1012,5677.58,453,2538.53,743,4158.74
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),53,26.76,1585,798.17,2357,1183.85,640,321.45,10939,5482.45,5424,2712.57,8705,4344.61
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,n.d.,n.d.,500,1600.61,300,958.22,40,127.76,1532,4885.52,720,2292.41,1195,3799.44
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,5,19.90,713,2839.39,285,1135.41,156,621.49,1057,4217.79,406,1622.70,831,3326.86
