Date,Regroupement,Croisement,Nom,dec_hebdo_tot_n,dec_hebdo_tot_t,dec_quo_tot_t,dec_quo_tot_n,dec_quo_tot_m,dec_quo_tot_tm,hos_heb_testpos_n,hos_heb_testpos_t,hos_quo_testpos_t,hos_quo_testpos_n,hos_quo_testpos_m,hos_act_testpos_n,hos_heb_dxurg_n,hos_heb_dxurg_t,hos_quo_dxurg_t,hos_quo_dxurg_n,hos_quo_dxurg_m,hos_act_dxurg_n,psi_quo_pos_n,psi_quo_inf_n,psi_quo_tes_n,psi_quo_pos_t,psi_heb_pos_n,psi_heb_inf_n,psi_heb_tes_n,psi_heb_pos_t,psi_quo_tot_m,psi_heb_cas_t
Date inconnue,Région,RSS01,01 - Bas-Saint-Laurent,428,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS02,02 - Saguenay-Lac-Saint-Jean,662,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS03,03 - Capitale-Nationale,2245,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS04,04 - Mauricie et Centre-du-Québec,1523,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS05,05 - Estrie,1107,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS06,06 - Montréal,6611,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS07,07 - Outaouais,657,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS08,08 - Abitibi-Témiscamingue,243,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS09,09 - Côte-Nord,146,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS10,10 - Nord-du-Québec,19,.,.,0,,,.,.,.,.,,.,.,.,.,.,,.,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,218,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS12,12 - Chaudière-Appalaches,1042,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS13,13 - Laval,1378,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS14,14 - Lanaudière,1056,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS15,15 - Laurentides,1144,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS16,16 - Montérégie,3335,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS17,17 - Nunavik,11,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,20,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS00,Inconnu,0,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS98,Hors Québec,0,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
Date inconnue,Région,RSS99,Ensemble du Québec,21845,.,.,0,,,.,.,.,.,,0,.,.,.,.,,0,0,0,0,.,.,.,.,.,,.
