,Date,Hospital_Loc,Senior_Loc,Home,Unknown_Loc
0,2020-03-18 00:00:00,0,2,0,0
1,2020-03-19 00:00:00,0,2,0,0
2,2020-03-20 00:00:00,0,3,0,0
3,2020-03-21 00:00:00,0,4,0,0
4,2020-03-22 00:00:00,0,4,0,0
5,2020-03-23 00:00:00,0,4,2,0
6,2020-03-24 00:00:00,1,4,3,0
7,2020-03-25 00:00:00,4,7,4,0
8,2020-03-26 00:00:00,4,9,8,1
9,2020-03-27 00:00:00,6,10,9,1
10,2020-03-28 00:00:00,11,13,11,2
11,2020-03-29 00:00:00,17,13,14,3
12,2020-03-30 00:00:00,23,14,19,4
13,2020-03-31 00:00:00,31,15,21,7
14,2020-04-01 00:00:00,39,16,22,8
15,2020-04-02 00:00:00,53,18,24,12
16,2020-04-03 00:00:00,68,24,29,17
17,2020-04-04 00:00:00,89,33,31,24
18,2020-04-05 00:00:00,108,41,34,30
19,2020-04-06 00:00:00,136,47,38,36
20,2020-04-07 00:00:00,160,53,43,41
21,2020-04-08 00:00:00,185,59,52,44
22,2020-04-09 00:00:00,218,63,61,48
23,2020-04-10 00:00:00,254,72,67,60
24,2020-04-11 00:00:00,300,78,70,68
25,2020-04-12 00:00:00,355,89,75,76
26,2020-04-13 00:00:00,409,103,85,78
27,2020-04-14 00:00:00,459,117,94,85
28,2020-04-15 00:00:00,514,129,105,93
29,2020-04-16 00:00:00,573,140,110,98
30,2020-04-17 00:00:00,616,152,118,103
31,2020-04-18 00:00:00,673,160,124,106
32,2020-04-19 00:00:00,750,175,130,114
33,2020-04-20 00:00:00,811,185,134,118
34,2020-04-21 00:00:00,873,194,138,127
35,2020-04-22 00:00:00,929,208,150,137
36,2020-04-23 00:00:00,989,224,156,143
37,2020-04-24 00:00:00,1041,231,164,161
38,2020-04-25 00:00:00,1100,251,174,167
39,2020-04-26 00:00:00,1144,261,184,175
40,2020-04-27 00:00:00,1196,279,188,185
41,2020-04-28 00:00:00,1254,294,192,197
42,2020-04-29 00:00:00,1309,311,206,207
43,2020-04-30 00:00:00,1346,320,214,219
44,2020-05-01 00:00:00,1356,325,215,222
