date,cases_mtl,new_cases_mtl,deaths_mtl,cases_mtl_0-4,cases_mtl_5-9,cases_mtl_10-19,cases_mtl_20-29,cases_mtl_30-39,cases_mtl_40-49,cases_mtl_50-59,cases_mtl_60-69,cases_mtl_70-79,cases_mtl_80+,cases_mtl_0-4_per100000,cases_mtl_5-9_per100000,cases_mtl_10-19_per100000,cases_mtl_20-29_per100000,cases_mtl_30-39_per100000,cases_mtl_40-49_per100000,cases_mtl_50-59_per100000,cases_mtl_60-69_per100000,cases_mtl_70-79_per100000,cases_mtl_80+_per100000,cases_mtl_0-4_norm,cases_mtl_5-9_norm,cases_mtl_10-19_norm,cases_mtl_20-29_norm,cases_mtl_30-39_norm,cases_mtl_40-49_norm,cases_mtl_50-59_norm,cases_mtl_60-69_norm,cases_mtl_70-79_norm,cases_mtl_80+_norm,cases_mtl_0-4_per100000_norm,cases_mtl_5-9_per100000_norm,cases_mtl_10-19_per100000_norm,cases_mtl_20-29_per100000_norm,cases_mtl_30-39_per100000_norm,cases_mtl_40-49_per100000_norm,cases_mtl_50-59_per100000_norm,cases_mtl_60-69_per100000_norm,cases_mtl_70-79_per100000_norm,cases_mtl_80+_per100000_norm
2020-03-15,22,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-16,27,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-17,32,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-18,38,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-19,74,36,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-20,121,47,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-21,213,92,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-22,305,92,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-23,438,133,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-24,579,141,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-25,761,182,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-26,947,186,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-27,1191,244,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-28,1387,196,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-29,1644,257,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-30,1916,272,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-31,2241,325,na,16,18,87,380,374,357,342,258,140,119,15,17,46,130,125,140,132,126,108,120,0.8,0.9,4.2,18.2,17.9,17.1,16.4,12.3,6.7,5.7,1.5,1.8,4.8,13.5,13.0,14.6,13.8,13.1,11.3,12.6
2020-04-01,2558,317,na,16,20,112,462,465,456,418,310,179,197,15,19,60,158,155,179,161,151,138,199,0.6,0.8,4.3,17.5,17.6,17.3,15.9,11.8,6.8,7.5,1.2,1.6,4.8,12.8,12.6,14.5,13.1,12.2,11.2,16.1
2020-04-02,2954,396,na,18,20,116,486,495,496,447,321,199,232,16,19,62,166,165,195,173,157,153,235,0.6,0.7,4.1,17.2,17.5,17.5,15.8,11.3,7.0,8.2,1.2,1.4,4.6,12.4,12.3,14.5,12.9,11.7,11.4,17.5
2020-04-03,3300,346,na,24,23,128,539,566,560,512,362,244,295,22,22,68,184,189,220,198,177,188,299,0.7,0.7,3.9,16.6,17.4,17.2,15.7,11.1,7.5,9.1,1.4,1.4,4.3,11.7,12.1,14.1,12.6,11.3,12.0,19.1
2020-04-04,3639,339,na,25,27,144,601,638,656,576,400,277,361,23,26,77,205,213,258,223,195,214,365,0.7,0.7,3.9,16.2,17.2,17.7,15.5,10.8,7.5,9.7,1.3,1.4,4.3,11.4,11.8,14.3,12.4,10.9,11.9,20.3
